Date,Quantity Sold (kg),Unit Price (NGN),Total Sales Value (NGN),Opening Stock (kg),Closing Stock (kg),Restocked Quantity (kg),Supplier Name,Supplier Cost (NGN),Transport Cost (NGN),Store Location,Season
11/14/2010,187,164,30659,167,34,133,Ogun Growers,127,3886,"Kano, Sabon Gari",Dry Season
11/15/2010,165,168,27646,267,165,102,Ogun Growers,133,6565,"Kano, Sabon Gari",Dry Season
11/16/2010,256,155,39682,261,30,231,Kaduna Suppliers,123,8454,"Lagos, Yaba",Dry Season
11/17/2010,215,191,41005,254,109,145,Jigawa Farm,142,5681,"Kano, Sabon Gari",Dry Season
11/18/2010,154,141,21782,168,64,104,Kaduna Suppliers,111,4509,Ibadan,Dry Season
11/19/2010,217,163,35268,161,-51,212,Jigawa Farm,119,4382,Ibadan,Dry Season
11/20/2010,272,144,39257,233,-33,266,Jigawa Farm,105,7389,"Abuja, Wuse",Dry Season
11/21/2010,200,144,28867,173,-7,180,Local Farmer,128,6798,"Lagos, Yaba",Dry Season
11/22/2010,149,129,19216,197,72,125,Local Farmer,106,8099,"Abuja, Wuse",Dry Season
11/23/2010,160,181,29024,158,44,114,Kaduna Suppliers,147,3630,"Abuja, Wuse",Dry Season
11/24/2010,111,183,20301,287,248,39,Ogun Growers,152,4738,"Lagos, Yaba",Dry Season
11/25/2010,221,133,29376,224,13,211,Local Farmer,93,9506,"Kano, Sabon Gari",Dry Season
11/26/2010,128,129,16499,209,151,58,Ogun Growers,100,6618,Ibadan,Dry Season
11/27/2010,186,189,35114,256,159,97,Local Farmer,151,6369,Port Harcourt,Dry Season
11/28/2010,133,190,25268,131,13,118,Local Farmer,150,7568,Ibadan,Dry Season
11/29/2010,244,130,31645,113,-75,188,Ogun Growers,111,6246,Ibadan,Dry Season
11/30/2010,242,186,45012,170,-61,231,Kaduna Suppliers,161,3962,"Kano, Sabon Gari",Dry Season
12/1/2010,251,180,45204,274,56,218,Kaduna Suppliers,144,8548,"Kano, Sabon Gari",Dry Season
12/2/2010,242,142,34408,245,92,153,Local Farmer,113,9726,"Lagos, Yaba",Dry Season
12/3/2010,144,149,21528,212,124,88,Kaduna Suppliers,110,8520,Ibadan,Dry Season
12/4/2010,132,156,20557,117,9,108,Local Farmer,120,5678,"Abuja, Wuse",Dry Season
12/5/2010,132,146,19252,264,221,43,Jigawa Farm,130,5697,Port Harcourt,Dry Season
12/6/2010,235,180,42316,200,51,149,Jigawa Farm,140,3011,Port Harcourt,Dry Season
12/7/2010,162,167,26985,221,89,132,Local Farmer,126,7948,Ibadan,Dry Season
12/8/2010,179,167,29934,160,80,80,Ogun Growers,124,4528,Ibadan,Dry Season
12/9/2010,261,170,44287,174,-69,243,Local Farmer,124,4315,"Abuja, Wuse",Dry Season
12/10/2010,172,157,26947,183,86,97,Jigawa Farm,122,5923,Ibadan,Dry Season
12/11/2010,217,149,32379,152,2,150,Jigawa Farm,123,9041,"Abuja, Wuse",Dry Season
12/12/2010,265,147,38899,137,-119,256,Kaduna Suppliers,119,7167,Ibadan,Dry Season
12/13/2010,189,174,32967,136,-45,181,Jigawa Farm,144,8743,"Kano, Sabon Gari",Dry Season
12/14/2010,183,169,30862,111,16,95,Local Farmer,132,5494,"Abuja, Wuse",Dry Season
12/15/2010,132,174,22951,149,29,120,Local Farmer,156,5037,Ibadan,Dry Season
12/16/2010,261,183,47787,294,56,238,Local Farmer,140,8247,Port Harcourt,Dry Season
12/17/2010,298,168,49915,236,5,231,Jigawa Farm,136,6078,Port Harcourt,Dry Season
12/18/2010,251,147,36790,112,-49,161,Ogun Growers,130,4927,"Kano, Sabon Gari",Dry Season
12/19/2010,146,134,19600,252,145,107,Local Farmer,106,4337,"Abuja, Wuse",Dry Season
12/20/2010,179,153,27464,141,-13,154,Ogun Growers,131,4564,Port Harcourt,Dry Season
12/21/2010,171,190,32492,150,-8,158,Jigawa Farm,143,6648,Ibadan,Dry Season
12/22/2010,230,128,29555,280,138,142,Local Farmer,101,8233,"Kano, Sabon Gari",Dry Season
12/23/2010,261,129,33694,281,77,204,Jigawa Farm,112,6696,Port Harcourt,Dry Season
12/24/2010,220,153,33677,174,-43,217,Kaduna Suppliers,133,5573,"Abuja, Wuse",Dry Season
12/25/2010,284,175,49755,186,-22,208,Local Farmer,150,3722,Ibadan,Dry Season
12/26/2010,160,137,21937,269,201,68,Local Farmer,121,4291,"Kano, Sabon Gari",Dry Season
12/27/2010,278,178,49515,161,-105,266,Ogun Growers,142,3623,"Lagos, Yaba",Dry Season
12/28/2010,168,158,26586,296,146,150,Local Farmer,120,8923,"Lagos, Yaba",Dry Season
12/29/2010,146,161,23467,146,93,53,Local Farmer,145,3631,Port Harcourt,Dry Season
12/30/2010,179,131,23471,149,52,97,Ogun Growers,97,8824,Port Harcourt,Dry Season
12/31/2010,285,173,49395,239,8,231,Kaduna Suppliers,125,5611,"Kano, Sabon Gari",Dry Season
1/1/2011,220,203,44568,272,109,163,Local Farmer,157,7034,"Abuja, Wuse",Dry Season
1/2/2011,217,187,40494,110,-16,126,Ogun Growers,139,8835,"Kano, Sabon Gari",Dry Season
1/3/2011,160,147,23462,103,10,93,Jigawa Farm,131,4714,"Abuja, Wuse",Dry Season
1/4/2011,180,144,25849,170,40,130,Local Farmer,122,3249,"Lagos, Yaba",Dry Season
1/5/2011,164,151,24685,155,34,121,Jigawa Farm,126,3760,Port Harcourt,Dry Season
1/6/2011,287,162,46566,196,-76,272,Jigawa Farm,127,6668,Ibadan,Dry Season
1/7/2011,236,169,39849,223,76,147,Ogun Growers,142,8506,Ibadan,Dry Season
1/8/2011,267,147,39370,223,-8,231,Ogun Growers,123,7100,Port Harcourt,Dry Season
1/9/2011,224,148,33187,184,8,176,Kaduna Suppliers,110,8278,"Lagos, Yaba",Dry Season
1/10/2011,268,171,45738,175,-89,264,Local Farmer,150,9300,"Kano, Sabon Gari",Dry Season
1/11/2011,292,168,49123,219,-26,245,Kaduna Suppliers,123,7660,Ibadan,Dry Season
1/12/2011,178,172,30605,190,53,137,Local Farmer,127,3989,"Kano, Sabon Gari",Dry Season
1/13/2011,143,178,25394,237,181,56,Ogun Growers,138,6759,"Kano, Sabon Gari",Dry Season
1/14/2011,253,150,37940,272,38,234,Ogun Growers,117,4278,"Kano, Sabon Gari",Dry Season
1/15/2011,278,198,54981,157,-77,234,Jigawa Farm,164,8242,"Lagos, Yaba",Dry Season
1/16/2011,258,203,52268,168,-6,174,Jigawa Farm,161,8111,"Kano, Sabon Gari",Dry Season
1/17/2011,270,150,40565,286,28,258,Jigawa Farm,123,9548,"Lagos, Yaba",Dry Season
1/18/2011,112,139,15600,256,174,82,Jigawa Farm,98,8081,"Lagos, Yaba",Dry Season
1/19/2011,287,143,41126,270,51,219,Local Farmer,105,6701,"Abuja, Wuse",Dry Season
1/20/2011,106,195,20677,291,265,26,Kaduna Suppliers,155,3564,"Lagos, Yaba",Dry Season
1/21/2011,143,163,23264,219,152,67,Jigawa Farm,132,3452,"Kano, Sabon Gari",Dry Season
1/22/2011,123,192,23609,217,143,74,Ogun Growers,163,4323,Ibadan,Dry Season
1/23/2011,172,173,29824,222,124,98,Kaduna Suppliers,150,7648,"Abuja, Wuse",Dry Season
1/24/2011,210,154,32244,165,27,138,Local Farmer,124,4347,Ibadan,Dry Season
1/25/2011,185,166,30751,200,84,116,Jigawa Farm,146,6285,Port Harcourt,Dry Season
1/26/2011,143,140,19958,292,149,143,Kaduna Suppliers,125,5438,Ibadan,Dry Season
1/27/2011,172,160,27531,224,101,123,Kaduna Suppliers,139,9084,"Kano, Sabon Gari",Dry Season
1/28/2011,154,141,21657,281,148,133,Jigawa Farm,110,9312,"Kano, Sabon Gari",Dry Season
1/29/2011,168,188,31610,279,168,111,Local Farmer,153,8933,Port Harcourt,Dry Season
1/30/2011,292,177,51760,176,-67,243,Jigawa Farm,129,9524,"Kano, Sabon Gari",Dry Season
1/31/2011,239,156,37359,149,-34,183,Local Farmer,128,4877,Port Harcourt,Dry Season
2/1/2011,130,153,19873,271,184,87,Kaduna Suppliers,109,9832,"Kano, Sabon Gari",Dry Season
2/2/2011,169,173,29243,178,82,96,Local Farmer,146,8926,Ibadan,Dry Season
2/3/2011,137,189,25845,277,238,39,Local Farmer,138,7478,Port Harcourt,Dry Season
2/4/2011,111,159,17625,278,208,70,Ogun Growers,142,5248,"Kano, Sabon Gari",Dry Season
2/5/2011,142,170,24179,182,96,86,Ogun Growers,140,6009,Ibadan,Dry Season
2/6/2011,265,149,39443,255,50,205,Local Farmer,122,9130,"Lagos, Yaba",Dry Season
2/7/2011,245,176,43230,172,17,155,Ogun Growers,150,5946,Port Harcourt,Dry Season
2/8/2011,136,163,22207,189,149,40,Jigawa Farm,133,3004,"Abuja, Wuse",Dry Season
2/9/2011,266,202,53737,283,57,226,Ogun Growers,149,9785,Ibadan,Dry Season
2/10/2011,141,142,20061,271,167,104,Kaduna Suppliers,127,3348,"Lagos, Yaba",Dry Season
2/11/2011,140,191,26807,149,107,42,Jigawa Farm,155,3677,Ibadan,Dry Season
2/12/2011,268,191,51161,206,34,172,Jigawa Farm,150,4320,"Abuja, Wuse",Dry Season
2/13/2011,182,198,36001,260,156,104,Local Farmer,164,4780,Ibadan,Dry Season
2/14/2011,151,145,21911,132,48,84,Local Farmer,117,3078,"Lagos, Yaba",Dry Season
2/15/2011,146,199,29020,173,67,106,Ogun Growers,160,8917,"Abuja, Wuse",Dry Season
2/16/2011,266,200,53332,184,-55,239,Local Farmer,167,8319,"Abuja, Wuse",Dry Season
2/17/2011,285,186,52948,201,-56,257,Ogun Growers,155,9596,"Abuja, Wuse",Dry Season
2/18/2011,127,203,25836,119,-8,127,Ogun Growers,145,7127,"Kano, Sabon Gari",Dry Season
2/19/2011,132,144,18978,240,177,63,Jigawa Farm,110,7019,"Kano, Sabon Gari",Dry Season
2/20/2011,229,163,37345,242,46,196,Jigawa Farm,117,8459,"Kano, Sabon Gari",Dry Season
2/21/2011,241,157,37955,234,60,174,Kaduna Suppliers,133,7840,Ibadan,Dry Season
2/22/2011,285,160,45613,156,-57,213,Jigawa Farm,135,6804,Port Harcourt,Dry Season
2/23/2011,265,175,46303,282,110,172,Local Farmer,130,7151,Port Harcourt,Dry Season
2/24/2011,186,175,32608,122,-19,141,Local Farmer,149,7850,Port Harcourt,Dry Season
2/25/2011,201,199,39991,170,5,165,Local Farmer,144,6677,"Kano, Sabon Gari",Dry Season
2/26/2011,142,190,27018,172,102,70,Kaduna Suppliers,170,5848,"Kano, Sabon Gari",Dry Season
2/27/2011,262,176,46114,277,19,258,Jigawa Farm,133,5292,Ibadan,Dry Season
2/28/2011,100,156,15614,211,142,69,Jigawa Farm,121,8067,"Lagos, Yaba",Dry Season
3/1/2011,143,185,26523,178,82,96,Ogun Growers,142,4159,"Abuja, Wuse",Dry Season
3/2/2011,155,186,28797,107,-22,129,Kaduna Suppliers,143,9174,"Lagos, Yaba",Dry Season
3/3/2011,254,158,40145,103,-75,178,Kaduna Suppliers,120,8373,Ibadan,Dry Season
3/4/2011,297,164,48584,118,-168,286,Ogun Growers,122,8722,"Abuja, Wuse",Dry Season
3/5/2011,167,139,23277,290,170,120,Ogun Growers,101,9503,"Abuja, Wuse",Dry Season
3/6/2011,140,172,24107,164,85,79,Jigawa Farm,144,8098,"Kano, Sabon Gari",Dry Season
3/7/2011,138,139,19175,150,45,105,Jigawa Farm,117,3425,Port Harcourt,Dry Season
3/8/2011,200,153,30561,191,-9,200,Jigawa Farm,112,3751,"Kano, Sabon Gari",Dry Season
3/9/2011,207,171,35494,164,-4,168,Kaduna Suppliers,127,3614,"Kano, Sabon Gari",Dry Season
3/10/2011,141,149,21069,121,34,87,Kaduna Suppliers,130,6600,Ibadan,Dry Season
3/11/2011,244,161,39291,253,61,192,Ogun Growers,118,6902,Port Harcourt,Dry Season
3/12/2011,182,145,26355,297,177,120,Jigawa Farm,116,4174,Ibadan,Dry Season
3/13/2011,273,186,50783,121,-99,220,Local Farmer,154,8284,Port Harcourt,Dry Season
3/14/2011,146,184,26858,265,190,75,Local Farmer,146,3879,"Abuja, Wuse",Dry Season
3/15/2011,291,171,49629,122,-97,219,Kaduna Suppliers,135,7158,Ibadan,Dry Season
3/16/2011,175,148,25923,181,84,97,Kaduna Suppliers,123,5150,"Abuja, Wuse",Dry Season
3/17/2011,208,178,37120,161,-25,186,Ogun Growers,152,6559,"Abuja, Wuse",Dry Season
3/18/2011,241,159,38349,199,0,199,Ogun Growers,118,7747,"Lagos, Yaba",Dry Season
3/19/2011,292,149,43381,260,1,259,Ogun Growers,116,3864,"Abuja, Wuse",Dry Season
3/20/2011,278,157,43673,120,-115,235,Kaduna Suppliers,117,6885,Ibadan,Dry Season
3/21/2011,162,165,26794,182,100,82,Ogun Growers,134,8241,"Lagos, Yaba",Dry Season
3/22/2011,162,159,25820,245,117,128,Jigawa Farm,117,8455,"Lagos, Yaba",Dry Season
3/23/2011,139,176,24463,125,0,125,Jigawa Farm,126,8743,Port Harcourt,Dry Season
3/24/2011,290,153,44496,167,-78,245,Ogun Growers,135,6020,Port Harcourt,Dry Season
3/25/2011,217,173,37458,207,26,181,Kaduna Suppliers,122,4979,"Lagos, Yaba",Dry Season
3/26/2011,168,180,30287,117,20,97,Local Farmer,156,7999,Ibadan,Dry Season
3/27/2011,171,143,24512,136,-25,161,Local Farmer,119,7026,"Abuja, Wuse",Dry Season
3/28/2011,291,147,42641,267,-16,283,Local Farmer,111,5712,"Lagos, Yaba",Dry Season
3/29/2011,249,184,45884,175,-1,176,Jigawa Farm,163,6355,"Abuja, Wuse",Dry Season
3/30/2011,101,152,15320,271,258,13,Jigawa Farm,135,9307,"Lagos, Yaba",Dry Season
3/31/2011,246,176,43398,188,10,178,Ogun Growers,150,8771,"Kano, Sabon Gari",Dry Season
4/1/2011,115,190,21846,142,88,54,Jigawa Farm,157,4413,"Kano, Sabon Gari",Dry Season
4/2/2011,167,188,31338,287,205,82,Local Farmer,145,7184,Port Harcourt,Dry Season
4/3/2011,226,137,31059,149,-37,186,Kaduna Suppliers,110,7235,"Abuja, Wuse",Dry Season
4/4/2011,145,150,21766,269,188,81,Local Farmer,125,3083,"Kano, Sabon Gari",Dry Season
4/5/2011,129,199,25686,244,214,30,Ogun Growers,154,6632,Port Harcourt,Dry Season
4/6/2011,260,172,44633,260,96,164,Kaduna Suppliers,137,7850,"Abuja, Wuse",Dry Season
4/7/2011,283,177,50033,149,-100,249,Jigawa Farm,135,5192,Port Harcourt,Dry Season
4/8/2011,204,197,40182,187,81,106,Jigawa Farm,170,5852,"Abuja, Wuse",Dry Season
4/9/2011,129,187,24125,216,181,35,Local Farmer,165,4454,Ibadan,Dry Season
4/10/2011,196,191,37517,234,90,144,Ogun Growers,143,7607,"Kano, Sabon Gari",Dry Season
4/11/2011,126,183,22996,247,193,54,Ogun Growers,130,9833,"Abuja, Wuse",Dry Season
4/12/2011,242,185,44764,299,144,155,Ogun Growers,163,8949,"Abuja, Wuse",Dry Season
4/13/2011,112,202,22668,111,0,111,Kaduna Suppliers,148,4403,"Lagos, Yaba",Dry Season
4/14/2011,171,161,27557,297,188,109,Jigawa Farm,139,3431,Port Harcourt,Dry Season
4/15/2011,252,149,37430,286,72,214,Local Farmer,116,9754,Port Harcourt,Dry Season
4/16/2011,273,156,42709,200,-41,241,Local Farmer,119,3782,Port Harcourt,Dry Season
4/17/2011,111,191,21185,121,83,38,Jigawa Farm,153,4610,"Lagos, Yaba",Dry Season
4/18/2011,210,155,32652,122,-32,154,Jigawa Farm,120,9657,Ibadan,Dry Season
4/19/2011,178,142,25223,213,36,177,Jigawa Farm,126,7529,Ibadan,Dry Season
4/20/2011,242,172,41705,284,69,215,Local Farmer,142,3447,"Abuja, Wuse",Dry Season
4/21/2011,295,172,50847,103,-93,196,Jigawa Farm,131,8885,"Kano, Sabon Gari",Dry Season
4/22/2011,105,140,14737,191,94,97,Kaduna Suppliers,109,8509,Port Harcourt,Dry Season
4/23/2011,151,152,22965,170,71,99,Jigawa Farm,129,7636,"Kano, Sabon Gari",Dry Season
4/24/2011,275,184,50655,188,8,180,Ogun Growers,163,4790,"Abuja, Wuse",Dry Season
4/25/2011,224,181,40457,132,-29,161,Jigawa Farm,130,5093,"Lagos, Yaba",Dry Season
4/26/2011,176,195,34300,196,45,151,Ogun Growers,164,4437,"Lagos, Yaba",Dry Season
4/27/2011,219,188,41136,252,126,126,Kaduna Suppliers,142,5934,"Lagos, Yaba",Dry Season
4/28/2011,168,179,30025,282,181,101,Jigawa Farm,156,4558,Port Harcourt,Dry Season
4/29/2011,249,171,42522,266,76,190,Local Farmer,127,3517,"Lagos, Yaba",Dry Season
4/30/2011,149,160,23907,156,98,58,Ogun Growers,134,7150,Port Harcourt,Dry Season
5/1/2011,159,139,22142,225,82,143,Jigawa Farm,105,5629,Ibadan,Dry Season
5/2/2011,148,153,22581,147,28,119,Jigawa Farm,110,6272,Ibadan,Dry Season
5/3/2011,214,140,29902,287,110,177,Ogun Growers,121,9055,Port Harcourt,Dry Season
5/4/2011,278,159,44178,123,-87,210,Ogun Growers,135,8904,"Lagos, Yaba",Dry Season
5/5/2011,182,189,34388,133,17,116,Jigawa Farm,160,3056,Port Harcourt,Dry Season
5/6/2011,139,190,26409,187,50,137,Kaduna Suppliers,168,5568,"Abuja, Wuse",Dry Season
5/7/2011,258,172,44280,141,-116,257,Jigawa Farm,128,4874,Port Harcourt,Dry Season
5/8/2011,284,200,56852,289,80,209,Kaduna Suppliers,149,4498,"Abuja, Wuse",Dry Season
5/9/2011,274,179,49166,218,-44,262,Local Farmer,133,3563,Ibadan,Dry Season
5/10/2011,232,176,40821,214,77,137,Local Farmer,133,3643,"Abuja, Wuse",Dry Season
5/11/2011,108,158,17018,251,214,37,Kaduna Suppliers,130,8600,Port Harcourt,Dry Season
5/12/2011,258,183,47279,235,14,221,Jigawa Farm,138,9379,"Kano, Sabon Gari",Dry Season
5/13/2011,295,167,49328,236,35,201,Ogun Growers,128,4380,Ibadan,Dry Season
5/14/2011,294,149,43872,298,70,228,Jigawa Farm,132,9156,"Kano, Sabon Gari",Dry Season
5/15/2011,117,191,22365,235,129,106,Ogun Growers,155,3868,Port Harcourt,Dry Season
5/16/2011,152,193,29404,261,114,147,Ogun Growers,140,3162,Port Harcourt,Dry Season
5/17/2011,185,149,27546,213,126,87,Ogun Growers,126,8520,"Lagos, Yaba",Dry Season
5/18/2011,176,163,28756,201,67,134,Kaduna Suppliers,137,9591,Port Harcourt,Dry Season
5/19/2011,263,163,42750,285,58,227,Kaduna Suppliers,142,5186,Ibadan,Dry Season
5/20/2011,228,179,40839,195,6,189,Local Farmer,147,8823,"Lagos, Yaba",Dry Season
5/21/2011,228,157,35737,178,-20,198,Local Farmer,121,6237,"Abuja, Wuse",Dry Season
5/22/2011,239,145,34589,142,-16,158,Jigawa Farm,105,3238,"Abuja, Wuse",Dry Season
5/23/2011,206,196,40405,106,-28,134,Jigawa Farm,164,3801,"Lagos, Yaba",Dry Season
5/24/2011,121,200,24143,177,65,112,Kaduna Suppliers,155,9354,"Kano, Sabon Gari",Dry Season
5/25/2011,140,192,26844,182,108,74,Jigawa Farm,167,5054,Port Harcourt,Dry Season
5/26/2011,260,155,40233,176,-30,206,Local Farmer,115,6789,Ibadan,Dry Season
5/27/2011,206,175,36041,221,30,191,Local Farmer,139,6809,"Kano, Sabon Gari",Dry Season
5/28/2011,260,147,38138,111,-110,221,Local Farmer,109,8929,"Lagos, Yaba",Dry Season
5/29/2011,251,160,40284,134,-49,183,Ogun Growers,140,9596,Ibadan,Dry Season
5/30/2011,256,182,46477,241,51,190,Local Farmer,157,6357,Port Harcourt,Dry Season
5/31/2011,267,182,48721,146,-106,252,Ogun Growers,161,8097,Ibadan,Dry Season
6/1/2011,140,224,31329,284,216,68,Jigawa Farm,186,3041,"Kano, Sabon Gari",Rainy Season
6/2/2011,136,230,31330,260,158,102,Jigawa Farm,174,6731,"Kano, Sabon Gari",Rainy Season
6/3/2011,199,210,41817,274,132,142,Kaduna Suppliers,171,6155,"Lagos, Yaba",Rainy Season
6/4/2011,55,221,12146,182,199,0,Ogun Growers,155,9315,Ibadan,Rainy Season
6/5/2011,132,250,33028,296,214,82,Kaduna Suppliers,206,9141,"Lagos, Yaba",Rainy Season
6/6/2011,155,238,36922,128,3,125,Kaduna Suppliers,198,3911,Port Harcourt,Rainy Season
6/7/2011,125,228,28506,299,251,48,Jigawa Farm,168,3300,"Kano, Sabon Gari",Rainy Season
6/8/2011,57,211,12008,231,196,35,Local Farmer,186,7423,Ibadan,Rainy Season
6/9/2011,122,242,29506,239,185,54,Ogun Growers,177,7254,Port Harcourt,Rainy Season
6/10/2011,181,232,42055,278,196,82,Kaduna Suppliers,193,4125,"Lagos, Yaba",Rainy Season
6/11/2011,73,218,15929,129,118,11,Jigawa Farm,194,7341,Ibadan,Rainy Season
6/12/2011,98,216,21187,214,198,16,Ogun Growers,181,5559,"Kano, Sabon Gari",Rainy Season
6/13/2011,109,213,23245,209,153,56,Local Farmer,174,8627,"Abuja, Wuse",Rainy Season
6/14/2011,194,221,42865,263,144,119,Jigawa Farm,169,9456,"Kano, Sabon Gari",Rainy Season
6/15/2011,73,219,16019,279,290,0,Local Farmer,160,7991,Port Harcourt,Rainy Season
6/16/2011,106,212,22512,100,2,98,Ogun Growers,155,7028,"Kano, Sabon Gari",Rainy Season
6/17/2011,80,211,16849,287,267,20,Jigawa Farm,153,5826,Port Harcourt,Rainy Season
6/18/2011,118,229,27037,272,167,105,Ogun Growers,185,7931,"Kano, Sabon Gari",Rainy Season
6/19/2011,179,247,44178,167,46,121,Jigawa Farm,205,8077,"Abuja, Wuse",Rainy Season
6/20/2011,94,247,23175,281,236,45,Jigawa Farm,206,7670,"Abuja, Wuse",Rainy Season
6/21/2011,192,230,44199,283,108,175,Local Farmer,205,5375,Port Harcourt,Rainy Season
6/22/2011,161,227,36519,216,94,122,Local Farmer,198,8736,"Kano, Sabon Gari",Rainy Season
6/23/2011,58,227,13184,135,115,20,Jigawa Farm,186,6723,Port Harcourt,Rainy Season
6/24/2011,98,240,23479,139,66,73,Kaduna Suppliers,214,4086,Port Harcourt,Rainy Season
6/25/2011,59,205,12069,196,142,54,Jigawa Farm,177,4887,Ibadan,Rainy Season
6/26/2011,164,221,36324,197,65,132,Kaduna Suppliers,181,6030,"Kano, Sabon Gari",Rainy Season
6/27/2011,91,214,19509,186,141,45,Ogun Growers,182,5620,"Kano, Sabon Gari",Rainy Season
6/28/2011,169,246,41631,183,86,97,Kaduna Suppliers,207,4236,"Kano, Sabon Gari",Rainy Season
6/29/2011,67,242,16204,297,297,0,Ogun Growers,195,5599,Port Harcourt,Rainy Season
6/30/2011,196,234,45793,156,41,115,Jigawa Farm,202,9669,"Lagos, Yaba",Rainy Season
7/1/2011,111,242,26871,131,28,103,Ogun Growers,171,8620,Ibadan,Rainy Season
7/2/2011,110,233,25592,100,66,34,Jigawa Farm,187,6234,Ibadan,Rainy Season
7/3/2011,65,231,15001,234,206,28,Jigawa Farm,201,5177,Port Harcourt,Rainy Season
7/4/2011,189,243,45846,204,75,129,Ogun Growers,203,6390,Ibadan,Rainy Season
7/5/2011,110,233,25599,288,196,92,Kaduna Suppliers,182,8139,"Kano, Sabon Gari",Rainy Season
7/6/2011,116,214,24872,209,127,82,Jigawa Farm,178,7065,Port Harcourt,Rainy Season
7/7/2011,182,230,41862,198,41,157,Local Farmer,190,3321,"Abuja, Wuse",Rainy Season
7/8/2011,144,219,31535,155,56,99,Jigawa Farm,175,4024,"Abuja, Wuse",Rainy Season
7/9/2011,75,210,15729,187,134,53,Ogun Growers,162,8484,Port Harcourt,Rainy Season
7/10/2011,158,227,35944,273,206,67,Jigawa Farm,178,9368,Ibadan,Rainy Season
7/11/2011,160,237,38000,271,131,140,Jigawa Farm,201,5704,"Kano, Sabon Gari",Rainy Season
7/12/2011,106,245,25992,263,218,45,Kaduna Suppliers,192,7274,"Kano, Sabon Gari",Rainy Season
7/13/2011,188,229,43045,281,165,116,Local Farmer,171,7692,"Lagos, Yaba",Rainy Season
7/14/2011,86,231,19838,240,252,0,Jigawa Farm,183,5432,Port Harcourt,Rainy Season
7/15/2011,166,249,41288,262,114,148,Local Farmer,204,3748,"Kano, Sabon Gari",Rainy Season
7/16/2011,114,229,26085,114,57,57,Ogun Growers,202,9269,"Kano, Sabon Gari",Rainy Season
7/17/2011,70,230,16117,126,114,12,Ogun Growers,174,4298,Ibadan,Rainy Season
7/18/2011,161,248,39976,119,-30,149,Jigawa Farm,181,5802,"Kano, Sabon Gari",Rainy Season
7/19/2011,129,245,31584,150,69,81,Local Farmer,218,3131,"Lagos, Yaba",Rainy Season
7/20/2011,56,213,11938,249,289,0,Jigawa Farm,172,3142,"Kano, Sabon Gari",Rainy Season
7/21/2011,80,246,19661,277,282,0,Kaduna Suppliers,191,3041,Port Harcourt,Rainy Season
7/22/2011,89,233,20735,218,151,67,Jigawa Farm,209,4892,"Abuja, Wuse",Rainy Season
7/23/2011,69,222,15347,213,218,0,Local Farmer,191,3067,Port Harcourt,Rainy Season
7/24/2011,104,231,24069,248,145,103,Ogun Growers,190,3471,"Kano, Sabon Gari",Rainy Season
7/25/2011,153,224,34248,263,178,85,Local Farmer,157,8698,"Abuja, Wuse",Rainy Season
7/26/2011,63,253,15921,211,152,59,Kaduna Suppliers,200,7773,"Kano, Sabon Gari",Rainy Season
7/27/2011,145,233,33758,279,191,88,Ogun Growers,209,9937,"Abuja, Wuse",Rainy Season
7/28/2011,186,254,47217,277,92,185,Jigawa Farm,200,9282,Ibadan,Rainy Season
7/29/2011,176,223,39196,260,153,107,Kaduna Suppliers,186,3792,"Kano, Sabon Gari",Rainy Season
7/30/2011,64,218,13956,143,88,55,Ogun Growers,184,3290,"Kano, Sabon Gari",Rainy Season
7/31/2011,83,248,20558,111,61,50,Local Farmer,184,9697,Ibadan,Rainy Season
8/1/2011,121,237,28688,284,185,99,Kaduna Suppliers,202,7663,"Abuja, Wuse",Rainy Season
8/2/2011,79,213,16839,279,254,25,Kaduna Suppliers,189,6863,Ibadan,Rainy Season
8/3/2011,158,229,36153,246,124,122,Jigawa Farm,188,9054,"Abuja, Wuse",Rainy Season
8/4/2011,92,240,22109,217,139,78,Local Farmer,201,9658,Ibadan,Rainy Season
8/5/2011,128,235,30019,181,152,29,Ogun Growers,193,3876,Port Harcourt,Rainy Season
8/6/2011,135,222,30011,187,57,130,Ogun Growers,171,7218,"Lagos, Yaba",Rainy Season
8/7/2011,50,207,10343,133,98,35,Kaduna Suppliers,147,7143,Port Harcourt,Rainy Season
8/8/2011,160,206,32913,295,222,73,Ogun Growers,166,3542,Ibadan,Rainy Season
8/9/2011,90,224,20201,299,209,90,Ogun Growers,167,9646,Ibadan,Rainy Season
8/10/2011,195,236,46062,252,117,135,Jigawa Farm,179,8453,Ibadan,Rainy Season
8/11/2011,54,224,12117,239,245,0,Kaduna Suppliers,165,9860,"Lagos, Yaba",Rainy Season
8/12/2011,167,234,39008,181,29,152,Ogun Growers,175,5224,"Kano, Sabon Gari",Rainy Season
8/13/2011,92,216,19851,212,121,91,Kaduna Suppliers,194,4433,"Lagos, Yaba",Rainy Season
8/14/2011,61,238,14501,256,265,0,Local Farmer,185,9543,"Kano, Sabon Gari",Rainy Season
8/15/2011,146,218,31846,155,60,95,Kaduna Suppliers,164,8772,Ibadan,Rainy Season
8/16/2011,94,238,22354,136,116,20,Local Farmer,213,4864,Ibadan,Rainy Season
8/17/2011,99,254,25175,105,69,36,Jigawa Farm,224,8858,"Abuja, Wuse",Rainy Season
8/18/2011,156,225,35160,170,77,93,Local Farmer,173,5943,"Kano, Sabon Gari",Rainy Season
